Titolo,Data Uscita,Motivazione della data,Note Addizionali
5 oggetti fondamentali ,24/09/2025,"Esce prima del 25/09 come richiesto, ponte verso i contenuti horror di ottobre",Puntata breve ma utile
,01/10/2025,"Inizio ottobre, guida visione pre-partenza",Tag SEO su Netflix Japan movies
,08/10/2025,Ottobre = mese dell’orrore per Halloween,Collega con Iceberg Japan movie
,15/10/2025,"Legato a Halloween, misteri e horror nipponico",Referenza YouTube: https://youtu.be/l323GiI_EI8?si=_-JUk98qQdxGp20o
,22/10/2025,True crime perfetto pre-Halloween,Forte richiamo pubblico interessato al macabro
,29/10/2025,Puntata creepy per la settimana di Halloween,Conclude il filone horror
,05/11/2025,daruma ,Evergreen stagionale
DICEMBRE in giappone– consigli per chi parte,12/11/2025,Contenuto pratico per viaggiatori di novembre-dicembre,Breve e utile
True Crime - 17,19/11/2025,Novembre collegato a maratone (Tokyo Marathon hype),Perfetta collocazione sportiva
JappoVan - budget,26/11/2025,"Fine novembre, contenuto culturale/nerd",Richiama fotografi amatoriali
Fotografia a film in Giappone,03/12/2025,"Dicembre = nostalgia, arte",Collega puntata precedente sulle fotocamere
Storia importanti fotografi giapponesi,10/12/2025,Approfondimento monografico fotografico,Evergreen seriale
Intervista @annachiara_santoro,17/12/2025,"Data pre-festiva, contenuto leggero",Formato diverso con ospite
Natale e Capodanno in Giappone – consigli,24/12/2025,"Vigilia di Natale, perfetto per viaggiatori",Alta risonanza emotiva
Young homeless,31/12/2025,"Ultimo dell’anno, puntata sociale e riflessiva",Contrasto con le festività
Morte di Akira Toriyama – Genkidama in Latin America,07/01/2026,Anno nuovo → omaggio culturale a Dragon Ball,Pubblico globale
Battle Royale,14/01/2026,"Gennaio post-Toriyama, cult giapponese",Collegato a 'Just one more thing'
Video Girl AI,21/01/2026,"Gennaio, classici manga anni ’80-’90",Nostalgia + cultura pop
Censura in Sailor Moon,28/01/2026,Conclude mese retrò anni ’90,Ottimo per fanbase anime
Hajime Sorayama,04/02/2026,Febbraio = estetica futuristica,Richiamo al cyber-Japan
Anime più famosi nel mondo – non ci crederai mai,11/02/2026,"Hype globale per anime, divulgazione",Perfetto pre-viaggio
Dieci migliori canali sul Giappone,18/02/2026,Community building pre-partenza,Ottimo ponte con inizio viaggio
viaggio,25/02/2026,,
viaggio,04/03/2026,,
viaggio,11/03/2026,,
viaggio,18/03/2026,,
viaggio,25/03/2026,,
10 scams in Giappone,01/04/2026,Esce poco prima del viaggio reale,Referenza: https://youtu.be/DtvVMji5pXE?si=G5dY76-dBMwJg6F8
Perché il Giappone è ricco,08/04/2026,Macro-tema economico e culturale,Referenza: https://youtu.be/KtQmFciMXoE?si=9DkU5tFeO8n20Fit
Domande e risposte,15/04/2026,Durante viaggio → Q&A con community,Interattivo e leggero
sake con omotenashi anime,22/04/2026,,
5 cose che non ti servono quando parti per il Giappone,29/04/2026,,
3 film su Netflix prima di andare in Giappone,06/05/2026,"Inizio ottobre, guida visione pre-partenza",Tag SEO su Netflix Japan movies
Japan’s Most Disturbing Murders,13/05/2026,True crime perfetto pre-Halloween,Forte richiamo pubblico interessato al macabro
Cannibale di Kyoto (TC),20/05/2026,Puntata creepy per la settimana di Halloween,Conclude il filone horror
History of Asics,27/05/2026,,
3 film su Netflix prima di andare in Giappone,03/06/2026,,
Noroi su Shudder,10/06/2026,,
Iceberg Japan movie,17/06/2026,,
Japan’s Most Disturbing Murders,24/06/2026,,
Storia di CANON,01/07/2026,,
bullismo/criminalità minorile degli anni 80,08/07/2026,,
puroresu e rikidozan,15/07/2026,,
Il metabolismo,22/07/2026,,
la storia di ADO,29/07/2026,https://youtu.be/ZZKukjldOkk?si=K2TZ18hmNL4bV659,
ghost in the shell,05/08/2026,hugo guearra vox movies,
STORIA di SEGA,12/08/2026,,
"cibo in giappone, ",19/08/2026,usare video fatti a dicembre ,
Catturata dopo 20 anni di affitto,,https://www.instagram.com/p/DUnEDtqEdbN/?img_index=4&igsh=NmsycXFwc2gxMHd1,
Fotografa giapponese ,,https://youtu.be/-znj8xlVpnM?si=z44vygg6HbQV0AdD,
Nakamura BLUE LED ,,https://vt.tiktok.com/ZS9mYnjCV/,
monografia ADO,,,
nikon museum ,,https://www.youtube.com/watch?v=fR6RNMAxSPo,in Japan
cosa sapere prima di andare in giappone ,,,
memento giapponese,,https://www.youtube.com/watch?v=SFKtFRvx9a4,
Geografia di Tokyo ,,,"Struttura geografico, piano regolatore e tutti i quartieri. Preludio a una serie per ogni quartiere"
,,,
"video fotografia, dove comprare libri fotografici a tokyo ",,,gia girato a tokyo necissa montaggio lavorazione e voice over per 50% del video 
video 5 cose negozi ad akihabara ,,,"Gia girato a marzo , da montare "
intervista negozio di manga piu’ famoso di roma ,,,"PRIORITA” ALTA, fatto a febbraio, va messo fuori e valorizzato  altrimenti ci faccio brutta figura."
live o non live con sara post viaggio per fare il resoconto ,,,dopo la fine dei video di Ivan un video “in studio” annuncio prossimo viaggio 
una volta al mese  video EXTRA preparazione per l’hokkaido van v2 agosto 2027,,,progetto futuro
