name,x,y,z,azimut,distanza,focale,sensore,focale_eq,hfov,vfov,tilt,target_z,campo_largh_m,campo_alt_m,dist_target_m
GP1_wide_L72,0.53,3.8,1.15,-72,2.6,3.3,6.17x4.63,19,86.1,70.1,-3.3,1.0,4.87,3.65,2.6
GP2_wide_L36,1.47,2.5,2.35,-36,2.6,3.3,6.17x4.63,19,86.1,70.1,-29.1,0.9,5.57,4.18,2.98
GP3_wide_C,3.0,2.0,1.15,0,2.6,3.3,6.17x4.63,19,86.1,70.1,-3.3,1.0,4.87,3.65,2.6
GP4_wide_R36,4.53,2.5,2.35,36,2.6,3.3,6.17x4.63,19,86.1,70.1,-29.1,0.9,5.57,4.18,2.98
GP5_wide_R72,5.47,3.8,1.15,72,2.6,3.3,6.17x4.63,19,86.1,70.1,-3.3,1.0,4.87,3.65,2.6
GP6_wide_top,3.0,3.2,2.65,0,1.4,3.3,6.17x4.63,19,86.1,70.1,-51.3,0.9,4.19,3.14,2.24
A7S_face_L,0.48,1.0,1.6,-35,4.4,50.0,36.0x24.0,50,39.6,27.0,-2.0,1.45,3.17,2.11,4.4
NIKON_face_R,5.52,1.0,1.6,35,4.4,50.0,36.0x24.0,50,39.6,27.0,-2.0,1.45,3.17,2.11,4.4
FUJI_feet_L,1.67,0.51,0.55,-18,4.3,35.0,23.5x15.6,54,37.1,25.1,-2.7,0.35,2.89,1.92,4.3
A6500_feet_R,4.33,0.51,0.55,18,4.3,35.0,23.5x15.6,54,37.1,25.1,-2.7,0.35,2.89,1.92,4.3
LUNA_face_C,3.0,0.2,1.7,0,4.4,19.0,9.8x7.4,70,28.9,22.0,-3.3,1.45,2.27,1.72,4.41
